# Output from hector version 1.1
year,run_name,spinup,component,variable,value,units
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,ozone,O3,30,DU O3
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,bc,BC_emissions,0,Tg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,oc,OC_emissions,0,Tg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,N2O,N2O,272.96,ppbv N2O
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CF4_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,CF4_halocarbon,hc_concentration,35,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,C2F6_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,C2F6_halocarbon,hc_concentration,0,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC23_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC23_halocarbon,hc_concentration,0,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC32_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC32_halocarbon,hc_concentration,0,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC4310_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC4310_halocarbon,hc_concentration,0,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC125_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC125_halocarbon,hc_concentration,0,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC134a_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC134a_halocarbon,hc_concentration,0,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC143a_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC143a_halocarbon,hc_concentration,0,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC227ea_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC227ea_halocarbon,hc_concentration,0,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC245fa_halocarbon,hc_emission,0,Gg
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,HFC245fa_halocarbon,hc_concentration,0,pptv
3,rcp45_doeclim_step_conc_reference_cmip5_comparison_diffusion_2.3,1,SF6_halocarbon,hc_emission,0,Gg
